name,item_description
Naruto Rise of a Ninja 360 game!!,"Fun game to play and great throw backbto the origibal story of Naruto while he was a child. Played a couple times until finishing. Very minor scratches but game still work, barely noticeable but wanted to enclose about them anyway. Will answer any questions if needed and will ship next day unless it is a holiday. Thank you! (:"
Mario Kart 7,"Nintendo DS Classic. Thoroughly tested. Check out my other games and when you bundle you save $$$. We have Nintendo, SNES, Sega, Gamecube, PlayStation, PS2, PS3, PS4, PSP Vita, Xbox One, and more!"
Monkey Ball Touch and Roll,"Looks perfect, works perfect! I can ship it via envelope for Free!"
3 Nintendo GameCube Games,YOU GET ALL 3 GAMES Star Wars Rogue Leader Rogue Squadron 2 Star Wars Rebel Strike Rogue Squadron 3 Need For Speed Underground They all have scratches but played fine last time they were played No cases
Disney Princess Wii Games,Disney Princess Enchanter journey and Tangled
Metal Gear (Nintendo NES),"Up for sale is Metal Gear for the original Nintendo. Game is an overall good condition with the label some scuffs and scratches. Comes with Nintendo brand cartridge sleeve. Game is cleaned, tested, and guaranteed to work."
"Call of Duty Black Ops III, (Sony PS3)","Authentic, new never opened original copy in factory wrapping guarantee. Any questions please contact me and I will respond quickly. Shipping is immediate upon receipt of payement. Fast, secure and hassle free transaction. Thanks and have a great day!!!"
Reserved for EmmSee,First 3 pics are the games for sale. The last pic is for soundtracks that might be for sale at a later date.
Left 4 Dead 2 Xbox 360 Game,Used in great shape little to no signs of wear Smoke free home
Black ops 3 PS4,Good condition and works well comes with everything when i first bought it
Pokemon White 2 + Black,Like new. Opened and played once.
R4 revolution for nintendo ds,"No memory card, just the chip to download your gameboy games"
Battlefield 1- Early Enlister Deluxe PS4,"Brand new, unopened Battlefield 1 Early Enlister Deluxe Edition for PS4. This is a hot game currently and sells for between [rm] and [rm] currently in stores. I posted photos of the sides so you can clearly see this is still in its original packaging. Don't miss out on this deal."
Madden 17 PS4,Used but in great condition.
Just Dance 3 ( Xbox 360 ),"Requires Kinect sensor bar in order to play. Comes complete with case , artwork & manual. Disc may have some minor scratches but has been tested and works great."
The Sims 3,The Sims 3 for Nintendo 3DS! Rated T for teen
Conkers Bad Fur Day Nintendo64,Works well!
Xbox One Black Ops 3,Working Xbox One Black Ops 3 Disk Great Game :)
BUNDLE WII GAMES,-FIFA SOCCER 12 -WIPEOUT THE GAME 2 GAMES FOR [rm] DOLLARS ENJOY!!
Xbox 360 Game Guitar Hero Smash Hits,Guitar Hero III Legends of Rock Guitar Hero Smash Hits Guitar Hero Aerosmith Guitar Hero II
Racing games x box 360,Test drive unlimited 2 Fast and the furious showdown Midnight club lost Angeles Halo 3 and Forza motorsports 3 Midnight club Los Angeles complete edition Blur
Call of Duty Black Ops Xbox 360,"No scratches, manual included"
Star Wars Battlefront 2 Xbox,"Hard to find, excellent shape! Check out my other video games, consoles and accessories! My store is color-coded: search WHITE for Xbox!"
Lot of Gameboy Advance Games' New,"Lot of Gameboy Advance Games' Brand New Gameboy Advance games brand new plastic, has wear due to handling. See pictures"
Psvita Bundle,Psvita comes with two games and charger great condition
Pokémon white FREESHIP,Comes with box and all manuals inside Used but works perfectly fine. price is firm Will delete save data
Elder Scrolls Online Gold Edition PS4,No description yet
Game Capture Hd60s,I've had it for 6 months and never used it it is in basically new condition
Just Dance 2016 Wii u. Free shipping,Disc in great condition. Unknown if code has been used.
Red [Used] NINTENDO DSlite,[used] NINTENDO DS lite Color: Red Charger included
Batman Arkham Origins for Xbox 360,"I am selling my entire Game collection, so please check back over the next month to see all the games I have listed. My collection is over 2000 games and systems so please check back. This listing is for a used original of Batman Arkham Origins for Xbox 360. You will get exactly what you see in the pictures, so please check pictures for exact condition. The game disc has some light scratches and scuffs, but nothing that causes any problems with gameplay. The case has some minor scratches and scuffs, but nothing too major. The case may have the remnants of stickers or sticker residue. The game works without any issues. Assume that any DLC codes have been used. Generally speaking if you are buying multiple items I will take off [rm] for each extra item that you purchase."
Resident Evil 2 PlayStation 1 PS1 PS2,Missing manual game is tested and working
DS games,Mario cart and monkeyball
Super Mario Maker wii u,Free ship
Naruto collection,Assortment of items Willing to negotiate
Assassins Creed Bundle,"II, III, Revelations"
Fallout 4 (Xbox One),Played it fully through once then never touched it after. Plays like new.
Street Xbox 360,A basketball game
Mario Kart with the wheels,Wii game
New Super Mario Bros. Wii,Game has been tested and works great. Disc does have some light surface scratches that does NOT effect game play. Ready to ship.
Fight Night Round 4 (PS3),"Plays great - Adult owned - with booklet. EA SPORTS Fight Night Round 4 is truly the Return of the Champ. Building off EA SPORTS Fight Night Round 3, one of the best-selling and most critically acclaimed games to come out at the onset of the Playstation 3 hardware launches, EA SPORTS Fight Night Round 4 promises to be equally as ground-breaking and revolutionary. With an all new physics based fighting engine, new physics driven animations, truly unique and differentiated boxer styles, and the most impressive boxer roster ever including the return of the legendary Iron Mike Tyson, EA SPORTS Fight Night Round 4 takes video game boxing and fighting to an entirely new level."
Deus Ex Mankind Divided Xbox One Game,"Game only no case.. Works fine, has somelight marks."
RESIDENT EVIL 7,Played twice beat the game no use for it. Great condition basically brand new.
Tom Clancy's Rainbow Six Siege PC,The game has been opened so I am assuming that the code inside has been activated. Please only buy this for the discs as I have no way of telling if the code has been used.
Uncharted 4 (The Thief’s End),PS4 Game No Scratches Brand new Played once
GTA 5 xbox one,Brand new factory sealed PRICE FIRM PLEASE DON'T ASK
The Lost Vikings Sega Genesis,The Lost Vikings Sega Genesis. Comes with the original case and manual.
PS4 Mafia 3,No description yet
Ms Pacman joystick,Arcade game joy stick
Sold!! Ape escape,Already sold
Rollercoaster Tycoon 3D (Cartridge Only),"Plays perfectly (tested before listed). Unfortunately, this does not come with its original box, but will be shipped safely."
Zombies Ate My Neighbors snes,Clean copy of zombies ate my neighbors. Tested. Label is in great shape.
PlayStation 3 Dirt game,No description yet
Nintendo 64 mario kart n64,Used but in good condition.
Legend Of Zelda Windwaker Gamecube Game,"COMPLETE IN CASE - All manuals , game, case. - Tested and works 100% fine - Cosmetic condition 9/10 - Please do not buy if you don't have any feedback. - I record myself while packaging all items and if returned i record while opening the received package in case is mail fraud i CAN FILL A POLICE REPORT FOR THIS REASON."
Vintage NES Nintendo game console,"A vintage original NES console ( console only, No cords, games,etc) from Nintendo. I used to collect consoles and this is one from my collection. It has just a few light marks, otherwise it looks nice and plays fine"
Star Wars Super Nintendo,Super Nintendo
Nicktoons Unite Gamecube Video Game,"GameCube used video game. Complete with case but no instructions. Disc has light scratches. Case may have stickers and or residue on it from the stickers. NO FREE SHIPPING!!! If you have the time, browse through my shop ... there are a lot more great games in the middle & bottom of my shop. Shipping time, I put 4-7 days for processing because these are hard to get to and stacked in boxes. I have limited space to move around and stack the boxes to get to the game I am looking for. I will try and ship as fast as I can. Please understand and if you are ok with this, you may buy. --- Location for Seller: Box 1 GC Under"
Knack PS4,Knack PS4 used a couple times. I ship fast!
Def Jam Fight for NY PS2,Def Jam Fight for NY for PlayStation 2. Disc only. Disc is in great shape (almost no scratches). Comes with case. Artwork is not authentic
Diablo,Lightly used. In great condition.
Atomic grape and lime gameboy,No description yet
Wii super Smashbros Brawl,Can do Bundles
Call of Duty 4 Modern Warfare Xbox 360,"Awesome game for the Xbox 360! Cleaned, tested and working! Comes with manual! Some obvious scratching, does not effect gameplay! Free shipping! *Bundle and Save check out my other games! *Items ship 1-2 business days from date of purchase *All items shipped with care and tracking! **Video game, Nintendo, NES, SNES, N64, Wii, Sega, Sony, Xbox, Microsoft, PlayStation, Gameboy, Pokemon, Vintage, Collectible, Collector, DS, 3ds, SP**"
Wario World Smooth Moves Wii,No description yet
UFC,For the PS4 brand new good condition.
2 3DS Games + game storage,-Luigi's mansion -Lego
Wii U ~ Splatoon ~,"My son used it only once, but he does not like it. Comes in perfect condition. The video game has a one year warranty (see photo 2)"
Nintendo Super Mario Bros Game,works perfectly!
Xbox 360 Superman Returns,This game is used but in good working condition. Game manual is not included.
Tony Hawk's Underground PS2,"Tested and working! Check out my other video games, consoles and accessories! My store is color coded: BLUE for PlayStation products!"
Grand Theft Auto V for Xbox 360,"I am selling my entire Game collection, so please check back over the next month to see all the games I have listed. My collection is over 2000 games and systems so please check back. This listing is for a used original of Grand Theft Auto V for Xbox 360. You will get exactly what you see in the pictures, so please check pictures for exact condition. The game disc has some light scratches and scuffs, but nothing that causes any problems with gameplay. The case has some minor scratches and scuffs, but nothing too major. The case may have the remnants of stickers or sticker residue. The game works without any issues. Assume that any DLC codes have been used. Generally speaking if you are buying multiple items I will take off [rm] for each extra item that you purchase. I can not offer discounts on orders under [rm]. In most cases prices are firm, however in some cases I will consider up to 10% off. Please do not send me 25% off offers and expect a response."
"Dead Rising 4, Xbox One",For Xbox one
Fifa 17,Xbox360
Call Of Duty Mw3 Xbox 360,Has some light scratches but tested and works
Project Justice Sega Dreamcast,Excellent and complete. Disc Mint. Firm price.
Illusion of Gaia SNES,"For sale is Illusion of Gaia for the Super Nintendo. The game is in good condition, it has been tested and works good. Please take a look at my other items. I am adding new stuff daily! Thanks for the look."
Castlevania 2 -xbox 360 CIB,"Complete in box, disc in great shape Many more games and consoles on my page. Anywhere from ps1, ps2, ps3, nes, snes, n64, 3ds, ds, xbox, xbox 360, xbox one and more..... Items are easy to find in sections, check back weekly for new deals! Ask about bundling to save money on shipping!"
